algorithm,scan,signal,op_channel,nic_channel,ssid,bssid,vendor,delayj,delayk,frame_type,kernel_time,jiffies,prequest
200,7,-83,1,1,FreeWifi,1a:77:3f:d6:3f:ba,NA,21,0.0210609999994631,presponse,4894.53824,4594539,2345
200,7,-81,1,1,FreeWifi_secure,1a:77:3f:d6:3f:bb,NA,24,0.0240839999996751,presponse,4894.541263,4594542,2345
200,7,-81,1,1,FreeWifi_secure,1a:77:3f:d6:3f:bb,NA,25,0.0256289999997534,presponse,4894.542808,4594543,2345
200,7,-82,1,1,FreeWifi_secure,1a:77:3f:d6:3f:bb,NA,28,0.0284759999995003,presponse,4894.545655,4594546,2345
200,7,-80,11,11,Livebox-74F0,dc:02:8e:54:74:f0,NA,8,0.00843499999973574,presponse,4894.556501,4594557,2346
200,7,-79,11,11,Freebox-613126,f4:ca:e5:85:0b:30,NA,16,0.016034999999647,presponse,4894.564101,4594565,2346
200,7,-78,11,11,FreeWifi,f4:ca:e5:85:0b:31,NA,17,0.0179389999993873,presponse,4894.566005,4594566,2346
200,7,-78,11,11,FreeWifi_secure,f4:ca:e5:85:0b:32,NA,19,0.019930999999815,presponse,4894.567997,4594568,2346
200,7,-84,6,8,orange,56:33:8e:e3:24:d0,NA,7,0.00765400000000227,presponse,4894.640838,4594641,2350
200,7,-73,6,4,Livebox-b0be,5c:33:8e:53:0b:ff,NA,6,0.00683200000003126,presponse,4894.673938,4594674,2353
200,8,-76,6,6,Livebox-58b0,d0:ae:ec:53:9f:ed,NA,5,0.00538499999947817,presponse,4934.534508,4634535,2641
200,8,-77,6,6,Bbox-8C49AE,5c:33:8e:ed:61:fd,NA,16,0.0160049999994953,presponse,4934.545128,4634546,2641
200,8,-72,1,1,NUMERICABLE-C1CD,24:ec:99:02:2c:9b,NA,4,0.00426299999980984,presponse,4934.565411,4634566,2642
200,8,-81,1,1,TNCAP1C9EFF,58:98:35:1c:9e:ff,NA,12,0.0120770000003176,presponse,4934.573225,4634574,2642
200,8,-80,1,1,willow,1a:77:3f:d6:3f:b8,NA,13,0.0137990000002901,presponse,4934.574947,4634575,2642
200,8,-80,1,1,willow,1a:77:3f:d6:3f:b8,NA,15,0.0156350000006569,presponse,4934.576783,4634577,2642
200,8,-79,1,1,FreeWifi,1a:77:3f:d6:3f:ba,NA,18,0.0186890000004496,presponse,4934.579837,4634580,2642
200,8,-80,1,1,FreeWifi_secure,1a:77:3f:d6:3f:bb,NA,20,0.020368999999846,presponse,4934.581517,4634582,2642
200,8,-75,11,11,Livebox-E146,68:15:90:19:e1:46,NA,9,0.00944100000015169,presponse,4934.601581,4634602,2643
200,8,-77,11,11,NUMERICABLE-D2E8,00:1a:2b:57:a5:0d,NA,11,0.0110089999998308,presponse,4934.603149,4634604,2643
200,8,-78,11,11,Livebox-74F0,dc:02:8e:54:74:f0,NA,16,0.0165999999999258,presponse,4934.60874,4634609,2643
200,8,-59,11,10,Freebox-613126,f4:ca:e5:85:0b:30,NA,7,0.00739400000020396,presponse,4934.655501,4634656,2645
200,8,-83,8,8,NUMERICABLE-INVITES,02:1f:33:df:ad:9a,NA,2,0.00236799999947834,presponse,4934.691497,4634692,2647
200,8,-82,-2,1,,b0:75:d5:1e:3c:54,NA,15,0.0154689999999391,presponse,4934.748578,4634749,2651
200,8,-83,-2,1,,ba:75:d5:1e:3c:54,NA,21,0.0215550000002622,presponse,4934.754664,4634755,2651
200,9,-69,6,6,Livebox-58b0,d0:ae:ec:53:9f:ed,NA,4,0.00468699999964883,presponse,4974.592774,4674593,2388
200,9,-68,6,6,Livebox-3eb2,00:19:70:ab:75:91,NA,8,0.00860300000022107,presponse,4974.59669,4674597,2388
200,9,-68,6,6,orange,06:19:70:ab:75:91,NA,10,0.0106139999998049,presponse,4974.598701,4674599,2388
200,9,-75,6,6,SFR_15D0,30:7e:cb:6f:15:d4,NA,16,0.0165619999997944,presponse,4974.604649,4674605,2388
200,9,-75,6,6,SFR WiFi FON,72:7e:cb:6f:15:d5,NA,20,0.0207389999995939,presponse,4974.608826,4674609,2388
200,9,-73,6,6,SFR WiFi Mobile,72:7e:cb:6f:15:d7,NA,29,0.0291870000000927,presponse,4974.617274,4674618,2388
200,9,-72,1,1,willow,1a:77:3f:d6:3f:b8,NA,6,0.0063270000000557,presponse,4974.626413,4674627,2389
200,9,-73,1,1,Freebox-658F15,14:0c:76:f4:42:54,NA,10,0.010218999999779,presponse,4974.630305,4674631,2389
200,9,-73,1,1,FreeWifi_secure,14:0c:76:f4:42:56,NA,12,0.0122380000002522,presponse,4974.632324,4674633,2389
200,9,-74,1,1,FreeWifi,14:0c:76:f4:42:55,NA,14,0.0140840000003664,presponse,4974.63417,4674635,2389
200,9,-73,1,1,FreeWifi,1a:77:3f:d6:3f:ba,NA,16,0.0160649999997986,presponse,4974.636151,4674637,2389
200,9,-72,1,1,FreeWifi_secure,1a:77:3f:d6:3f:bb,NA,17,0.0178329999998823,presponse,4974.637919,4674638,2389
200,9,-80,1,1,SFR_56A8,e0:a1:d7:31:56:ac,NA,30,0.0309829999996509,presponse,4974.651069,4674651,2389
200,9,-56,11,11,wifibg,02:1b:bf:1b:f0:e0,NA,5,0.00583399999959511,presponse,4974.660016,4674660,2390
200,9,-78,11,11,Livebox-74F0,dc:02:8e:54:74:f0,NA,26,0.0260929999994914,presponse,4974.680275,4674681,2390
